
# ========== optimize session started at 2026-02-15 08:44:36 ==========
[2026-02-15 08:44:43] [optimize] REMOVED /Users/rob/Library/Application Support/Dock/desktoppicture.db (52KB)
# ========== optimize session ended at 2026-02-15 08:44:58, 14 items, 0B ==========

# ========== clean session started at 2026-02-15 08:45:18 ==========
[2026-02-15 08:45:18] [clean] REMOVED /private/var/log/nix-daemon.log
[2026-02-15 08:45:19] [clean] REMOVED /private/var/folders/zx/sdl69vjd6fg6g5jhffrdfz240000gn/X/com.jetbrains.rider.code_sign_clone
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/logd.1.log (1.0MB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/diagnosticd.0.log (12KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000030.timesync (36KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000031.timesync (32KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000002c.timesync (24KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000002e.timesync (4KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000002d.timesync (8KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/timesync/0000000000000032.timesync (20KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/diagnostics/timesync/000000000000002f.timesync (12KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSTaskingDataModel.sqlite (40KB)
[2026-02-15 08:45:24] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSCKConfigModel.sqlite (24KB)
[2026-02-15 08:45:25] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSTaskingDataModel.sqlite-wal (196KB)
[2026-02-15 08:45:25] [clean] REMOVED /private/var/db/DiagnosticPipeline/DRSDataModel.sqlite (112KB)
[2026-02-15 08:45:25] [clean] REMOVED /private/var/db/powerlog/Library/PerfPowerTelemetry/ExtendedPersistence/CurrentLog.EPSQL (1.1MB)
[2026-02-15 08:45:25] [clean] REMOVED /private/var/db/powerlog/Library/PerfPowerTelemetry/XcodeOrganizer/CurrentXcodeOrganizerDB.XCSQL (4KB)
[2026-02-15 08:45:28] [clean] SKIPPED /Users/rob/Library/Caches/CloudKit (whitelist)
[2026-02-15 08:45:28] [clean] SKIPPED /Users/rob/Library/Caches/JetBrains (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.anthropic.claudefordesktop (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.anthropic.claudefordesktop.ShipIt (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.AMPDevicesAgent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.AMPLibraryAgent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.AppleMediaServices (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.AssistantServices (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.AuthenticationServicesCore.AuthenticationServicesAgent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.AvatarKit (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.CloudTelemetry (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.CommerceKit.TransactionService (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.DictionaryServices (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.Family-Settings.extension (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.FeatureAccessAgent (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.FileProviderDaemon.AppStoreService (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.HomeKit (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.MediaPlayer.RemotePlayerService (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.Music (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.NewDeviceOutreach (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.Safari (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.SetupAssistant (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.Siri-Settings.extension (protected)
[2026-02-15 08:45:29] [clean] SKIPPED /Users/rob/Library/Caches/com.apple.Software-Update-Settings.extension (protected)
